iter	Passed	Remaining
0	56	56452
1	56	28323
2	56	18940
3	57	14252
4	57	11444
5	57	9566
6	57	8224
7	58	7217
8	58	6434
9	58	5807
10	58	5294
11	59	4867
12	59	4506
13	59	4198
14	59	3929
15	60	3693
16	60	3486
17	60	3301
18	60	3136
19	60	2987
20	61	2852
21	61	2730
22	61	2618
23	61	2516
24	62	2422
25	62	2335
26	62	2254
27	62	2179
28	63	2110
29	63	2044
30	63	1983
31	63	1926
32	63	1872
33	64	1822
34	64	1775
35	64	1730
36	65	1716
37	66	1675
38	66	1636
39	66	1599
40	66	1564
41	67	1531
42	67	1498
43	67	1468
44	67	1438
45	68	1410
46	68	1384
47	68	1358
48	68	1334
49	68	1310
50	69	1288
51	69	1266
52	69	1245
53	69	1225
54	70	1205
55	70	1186
56	70	1168
57	70	1151
58	71	1135
59	71	1118
60	71	1102
61	71	1087
62	72	1072
63	72	1057
64	72	1043
65	72	1030
66	73	1016
67	73	1001
68	73	989
69	73	976
70	73	965
71	73	953
72	74	942
73	74	931
74	74	920
75	74	910
76	75	900
77	75	890
78	75	880
79	75	871
80	75	862
81	76	853
82	76	844
83	76	836
84	76	826
85	76	818
86	77	808
87	77	801
88	77	793
89	77	786
90	77	778
91	78	771
92	78	764
93	78	758
94	78	751
95	79	744
96	79	738
97	89	826
98	90	820
99	90	814
100	90	809
101	91	801
102	91	795
103	91	788
104	91	782
105	92	775
106	92	769
107	92	763
108	92	757
109	92	751
110	93	745
111	93	740
112	93	734
113	93	728
114	94	723
115	94	717
116	94	712
117	94	707
118	94	701
119	94	696
120	95	691
121	95	686
122	95	680
123	95	675
124	95	671
125	96	666
126	96	662
127	96	656
128	96	652
129	96	648
130	97	644
131	97	640
132	107	701
133	107	697
134	108	694
135	108	690
136	109	687
137	109	682
138	109	678
139	109	674
140	109	669
141	110	665
142	110	661
143	110	657
144	110	653
145	111	649
146	111	645
147	111	641
148	111	638
149	111	634
150	112	630
151	112	627
152	112	623
153	112	619
154	113	616
155	113	612
156	113	609
157	113	605
158	113	602
159	114	599
160	114	595
161	114	592
162	114	589
163	115	586
164	115	583
165	115	580
166	115	577
167	115	573
168	116	570
169	116	568
170	116	565
171	116	562
172	117	559
173	117	556
174	117	553
175	118	553
176	118	551
177	119	549
178	119	547
179	119	546
180	120	542
181	120	541
182	120	539
183	121	537
184	121	535
185	121	533
186	122	531
187	122	529
188	123	527
189	123	526
190	123	524
191	124	522
192	144	604
193	144	601
194	144	598
195	145	595
196	145	592
197	145	589
198	145	587
199	146	584
200	146	581
201	146	578
202	146	576
203	146	573
204	147	570
205	147	568
206	147	565
207	147	563
208	148	560
209	148	558
210	148	555
211	148	552
212	148	550
213	149	547
214	149	545
215	149	543
216	149	540
217	150	538
218	150	536
219	150	533
220	150	531
221	151	529
222	151	527
223	151	525
224	151	522
225	152	520
226	152	518
227	152	516
228	152	513
229	152	511
230	153	509
231	153	507
232	153	505
233	153	503
234	153	501
235	154	499
236	154	497
237	154	495
238	154	493
239	155	491
240	155	489
241	155	487
242	155	485
243	156	483
244	156	481
245	156	479
246	156	477
247	156	475
248	157	473
249	157	472
250	157	470
251	157	468
252	158	466
253	158	464
254	158	462
255	158	461
256	158	459
257	159	457
258	159	455
259	159	454
260	159	452
261	160	450
262	160	449
263	160	447
264	160	445
265	160	444
266	161	442
267	161	440
268	161	439
269	161	437
270	162	435
271	162	434
272	162	432
273	162	431
274	162	429
275	163	428
276	163	426
277	163	425
278	163	423
279	164	421
280	164	420
281	164	418
282	164	417
283	164	415
284	165	414
285	165	412
286	165	411
287	165	410
288	166	408
289	166	407
290	166	405
291	166	404
292	166	402
293	167	401
294	167	399
295	167	398
296	167	397
297	167	395
298	168	394
299	168	392
300	168	391
301	168	390
302	169	388
303	169	387
304	169	386
305	169	384
306	169	383
307	170	382
308	170	380
309	170	379
310	170	378
311	171	377
312	171	375
313	171	374
314	171	373
315	171	372
316	172	370
317	172	369
318	172	368
319	172	367
320	173	366
321	173	364
322	173	363
323	173	362
324	173	361
325	174	360
326	174	359
327	174	357
328	174	356
329	175	355
330	175	354
331	175	353
332	176	352
333	176	351
334	176	350
335	176	349
336	176	348
337	177	346
338	177	345
339	177	344
340	177	343
341	178	342
342	178	341
343	178	340
344	178	339
345	179	338
346	179	337
347	179	336
348	179	335
349	179	334
350	180	333
351	180	332
352	180	331
353	180	330
354	181	329
355	181	328
356	181	327
357	181	326
358	182	325
359	182	324
360	182	323
361	182	322
362	183	321
363	183	320
364	183	319
365	183	318
366	183	317
367	184	316
368	184	315
369	184	314
370	184	313
371	185	312
372	185	311
373	185	310
374	185	309
375	186	309
376	186	308
377	186	307
378	186	306
379	187	305
380	187	304
381	187	303
382	187	302
383	188	301
384	188	300
385	188	300
386	188	299
387	189	298
388	189	297
389	189	296
390	189	295
391	190	294
392	190	293
393	190	293
394	190	292
395	190	291
396	191	290
397	191	289
398	191	288
399	191	287
400	192	287
401	192	286
402	192	285
403	192	284
404	193	283
405	193	282
406	193	282
407	194	281
408	194	280
409	194	279
410	194	279
411	195	278
412	195	277
413	195	276
414	195	276
415	196	275
416	196	274
417	196	273
418	196	272
419	197	272
420	197	271
421	197	270
422	197	269
423	198	268
424	198	268
425	198	267
426	198	266
427	198	265
428	199	265
429	199	264
430	199	263
431	199	262
432	200	262
433	200	261
434	200	260
435	200	259
436	201	258
437	201	258
438	201	257
439	201	256
440	202	256
441	202	255
442	202	254
443	202	254
444	203	253
445	203	252
446	203	251
447	203	251
448	204	250
449	204	249
450	204	249
451	204	248
452	205	247
453	205	246
454	205	246
455	205	245
456	205	244
457	206	244
458	206	243
459	206	242
460	206	241
461	207	241
462	207	240
463	207	239
464	207	239
465	208	238
466	208	237
467	208	237
468	208	236
469	209	235
470	209	235
471	209	234
472	209	233
473	210	233
474	210	232
475	210	231
476	210	231
477	210	230
478	211	229
479	211	229
480	211	228
481	211	227
482	212	227
483	212	226
484	212	225
485	212	225
486	213	224
487	213	223
488	213	223
489	213	222
490	214	221
491	214	221
492	214	220
493	214	219
494	214	219
495	215	218
496	215	218
497	215	217
498	215	216
499	216	216
500	216	215
501	216	214
502	216	214
503	217	213
504	217	213
505	217	212
506	217	211
507	218	211
508	218	210
509	218	210
510	218	209
511	219	208
512	219	208
513	219	207
514	219	207
515	220	206
516	220	205
517	220	205
518	220	204
