iter	Passed	Remaining
0	56	56724
1	57	28457
2	57	19058
3	57	14364
4	58	11554
5	58	9676
6	58	8353
7	59	7340
8	59	6550
9	59	5930
10	60	5412
11	60	4984
12	60	4622
13	61	4310
14	61	4041
15	61	3805
16	62	3594
17	62	3408
18	62	3241
19	63	3092
20	63	2958
21	63	2837
22	64	2726
23	64	2619
24	64	2521
25	64	2433
26	65	2354
27	65	2280
28	66	2210
29	66	2147
30	66	2086
31	67	2028
32	67	1973
33	67	1921
34	67	1872
35	68	1827
36	68	1782
37	68	1740
38	69	1700
39	69	1666
40	69	1630
41	70	1599
42	70	1567
43	70	1537
44	71	1508
45	71	1480
46	71	1452
47	71	1425
48	72	1401
49	72	1375
50	72	1353
51	73	1331
52	73	1309
53	73	1288
54	73	1269
55	74	1250
56	74	1233
57	74	1214
58	75	1197
59	75	1181
60	75	1166
61	76	1151
62	76	1137
63	76	1122
64	77	1108
65	77	1096
66	77	1083
67	78	1071
68	78	1059
69	78	1047
70	79	1036
71	79	1025
72	79	1014
73	80	1003
74	80	993
75	80	982
76	81	972
77	81	962
78	81	953
79	81	942
80	82	933
81	82	923
82	82	913
83	82	904
84	83	896
85	83	889
86	83	880
87	84	873
88	84	866
89	84	858
90	85	851
91	85	843
92	85	835
93	85	828
94	86	822
95	86	815
96	87	810
97	87	804
98	87	798
99	88	793
100	88	787
101	88	782
102	89	776
103	89	770
104	89	765
105	90	760
106	90	754
107	90	748
108	90	743
109	91	738
110	91	733
111	91	728
112	92	723
113	92	718
114	92	714
115	93	709
116	93	704
117	93	699
118	93	695
119	94	691
120	94	687
121	94	682
122	95	678
123	95	674
124	95	670
125	96	666
126	96	661
127	96	657
128	96	653
129	97	649
130	97	646
131	97	642
132	98	639
133	98	635
134	98	632
135	99	629
136	99	625
137	99	622
138	99	618
139	100	615
140	100	612
141	100	608
142	100	605
143	101	602
144	101	598
145	101	595
146	102	593
147	102	590
148	102	587
149	103	584
150	103	581
151	103	578
152	104	575
153	104	574
154	104	571
155	105	569
156	105	566
157	105	563
158	106	561
159	106	558
160	106	554
161	106	552
162	107	549
163	107	547
164	107	544
165	108	542
166	108	540
167	108	538
168	108	535
169	109	533
170	109	531
171	109	529
172	110	527
173	110	524
174	110	522
175	111	520
176	111	518
177	111	516
178	112	513
179	112	512
180	112	509
181	112	507
182	113	505
183	113	503
184	113	501
185	114	499
186	114	497
187	114	496
188	115	494
189	115	492
190	115	490
191	116	488
192	116	486
193	116	484
